method,prior_name,weight,mean_brier,std_brier,mean_logloss,mean_bias,folds
blend,linear_recent_2y,0.0,0.2504152007133762,0.0017584718459594758,0.6940426711027131,0.017556856931230064,3
blend,linear_recent_3y,0.0,0.2504152007133762,0.0017584718459594758,0.6940426711027131,0.017556856931230064,3
blend,prev_year_rate,0.0,0.2504152007133762,0.0017584718459594758,0.6940426711027131,0.017556856931230064,3
blend,recency_weighted_linear,0.0,0.2504152007133762,0.0017584718459594758,0.6940426711027131,0.017556856931230064,3
platt,,0.0,0.2504152007133762,0.0017584718459594758,0.6940426711027131,0.017556856931230064,3
blend,recency_weighted_linear,0.88,0.25043283117569776,,0.6940140189461352,0.022732428823457107,1
blend,recency_weighted_linear,0.86,0.2504337027384029,,0.6940159455057938,0.022911763862333567,1
blend,recency_weighted_linear,0.84,0.2504365455790984,,0.6940218628791045,0.02309109890121014,1
blend,recency_weighted_linear,0.92,0.2504370018842588,,0.694022121128116,0.022373758745704075,1
blend,recency_weighted_linear,0.82,0.25044135969778425,,0.6940317759716964,0.0232704339400866,1
blend,recency_weighted_linear,0.94,0.2504420441555249,,0.6940321425293685,0.022194423706827504,1
blend,recency_weighted_linear,0.96,0.25044905770478143,,0.6940461400564624,0.022015088667951044,1
blend,recency_weighted_linear,0.98,0.25045804253202836,,0.6940641112535122,0.021835753629074584,1
blend,linear_recent_2y,0.87,0.25057973293690344,,0.6943086265627212,0.025837191625374623,1
blend,linear_recent_2y,0.83,0.25058033787777473,,0.6943103680561865,0.026057236632668956,1
blend,linear_recent_2y,0.89,0.25058232721513884,,0.694313631236026,0.025727169121727622,1
blend,linear_recent_2y,0.81,0.2505835370968814,,0.6943171232789604,0.026167259136315957,1
blend,linear_recent_2y,0.91,0.2505868526591549,,0.6943225476120669,0.02561714661808051,1
blend,linear_recent_2y,0.79,0.2505886674817687,,0.6943278083250578,0.02627728163996318,1
blend,linear_recent_2y,0.93,0.2505933092689516,,0.6943353723471618,0.0255071241144334,1
blend,linear_recent_2y,0.77,0.25059572903243676,,0.6943424289325631,0.02638730414361029,1
blend,linear_recent_2y,0.95,0.25060169704452906,,0.6943521025649905,0.025397101610786288,1
blend,prev_year_rate,0.82,0.25075611136884324,,0.6946633004472801,0.029262002098607687,1
blend,prev_year_rate,0.84,0.2507576696477571,,0.6946660558180974,0.029228802868475567,1
blend,prev_year_rate,0.78,0.2507587222917829,,0.6946694664414127,0.029328400558871814,1
blend,prev_year_rate,0.86,0.2507611370869268,,0.6946726973336016,0.029195603638343448,1
blend,prev_year_rate,0.76,0.2507628914936365,,0.6946783981309397,0.029361599789003934,1
blend,prev_year_rate,0.88,0.2507665136863523,,0.6946832209985543,0.02916240440821133,1
blend,prev_year_rate,0.74,0.2507689698557459,,0.6946912366241136,0.029394799019136053,1
blend,prev_year_rate,0.72,0.2507769573781112,,0.6947079882797135,0.02942799824926806,1
blend,exp_smoothing_0.65,0.78,0.25088710589784147,,0.6949273884616183,0.03144103505612078,1
blend,exp_smoothing_0.65,0.76,0.2508880083839728,,0.694929819690134,0.031420064170938844,1
blend,exp_smoothing_0.65,0.74,0.2508908187055382,,0.6949361594131334,0.031399093285756796,1
blend,exp_smoothing_0.65,0.82,0.25089102443188127,,0.6949342303926554,0.031482976826484765,1
blend,exp_smoothing_0.65,0.72,0.25089553686253774,,0.6949464134948277,0.03137812240057486,1
blend,exp_smoothing_0.65,0.84,0.2508958454520523,,0.6949434941701431,0.0315039477116667,1
blend,exp_smoothing_0.65,0.86,0.25090257430765744,,0.6949566476688065,0.03152491859684864,1
blend,exp_smoothing_0.65,0.88,0.25091121099869673,,0.6949736873432394,0.03154588948203069,1
raw_model,,,0.25421982525980963,0.0018424521865953373,0.7021694392021064,0.040644065901248805,3
