candidate_name,valid_year,sample_bucket,n,v2_brier,candidate_brier,delta_brier_candidate_minus_v2,candidate_auc,skill_contribution
C_PITCHER_GAME_probblend100,2024,50_99,1477,0.24958630009398672,0.24932962614692147,-0.0002566739470652446,0.47491469779966433,0.00025667394706529984
C_PITCHER_GAME_probblend100,2024,100_299,7873,0.24927542844933465,0.2491629732327131,-0.00011245521662153757,0.4963510167871986,0.00011245521662154528
C_PITCHER_GAME_probblend100,2024,300_plus,191085,0.24976579820064135,0.2496476325963031,-0.00011816560433824952,0.5253357659903646,0.00011816560433825548
V2_BASELINE,2022,lt25,2185,0.2483601806499605,0.2483601806499605,0.0,0.54126243404476,0.0
V2_BASELINE,2022,25_49,1889,0.24874412264192491,0.24874412264192491,0.0,0.5176707278847595,0.0
V2_BASELINE,2022,50_99,3595,0.24860791054728418,0.24860791054728418,0.0,0.5140604737629223,0.0
V2_BASELINE,2022,100_299,12732,0.248337683547306,0.248337683547306,0.0,0.5156873084012639,0.0
V2_BASELINE,2022,300_plus,227071,0.24898684630678738,0.24898684630678738,0.0,0.5335001697655897,0.0
V2_BASELINE,2023,lt25,1644,0.25269737964222816,0.25269737964222816,0.0,0.49305008149355456,0.0
V2_BASELINE,2023,25_49,1547,0.2541439373545777,0.2541439373545777,0.0,0.49783926924035204,0.0
V2_BASELINE,2023,50_99,2825,0.2537537421737036,0.2537537421737036,0.0,0.5043904585517069,0.0
V2_BASELINE,2023,100_299,10992,0.2528267371609728,0.2528267371609728,0.0,0.5062308260328214,0.0
V2_BASELINE,2023,300_plus,228517,0.25038047139225883,0.25038047139225883,0.0,0.5170530608580423,0.0
V2_BASELINE,2024,lt25,2084,0.24915877505910694,0.24915877505910694,0.0,0.480394919802261,0.0
V2_BASELINE,2024,25_49,1976,0.24933394335567044,0.24933394335567044,0.0,0.4918940278345916,0.0
V2_BASELINE,2024,50_99,3929,0.24926118086839186,0.24926118086839186,0.0,0.5040889629421029,0.0
