alpha,feature_set,train_start,train_end,cal_year,valid_year,stage,trend_prior,train_seconds,brier,logloss,auc,pred_mean,pred_std,actual_rate,baseline_brier,improvement_vs_catboost_baseline,experiment
300,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.4980616077305448,19.436661958694454,0.2499642808683428,0.6930757414347903,0.5043855661128879,0.4988816902071576,0.0034968441751106,0.4861049201797189,0.2498392201633735,-0.0001250607049692,alpha_grid
1000,combo_core,2019,2020,2021,2022,raw,0.5114727049981269,10.104838609695436,0.2516357702252238,0.6966664429834958,0.5199579744623862,0.5539713299076877,0.0656067662771025,0.5289204435249241,0.2488975149153299,-0.0027382553098939,alpha_grid
1000,combo_core,2019,2020,2021,2022,platt,0.5114727049981269,10.104838609695436,0.2494245664388944,0.6920160581790015,0.5199579744623862,0.5438214437608989,0.0386222476578728,0.5289204435249241,0.2488975149153299,-0.0005270515235644,alpha_grid
1000,combo_core,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,10.104838609695436,0.2489812679579229,0.6911078272894026,0.5199579744623862,0.5195598896888199,0.0096555619144682,0.5289204435249241,0.2488975149153299,-8.375304259303218e-05,alpha_grid
1000,combo_core,2019,2021,2022,2023,raw,0.5129662444084708,14.412256479263306,0.2547869317526076,0.7032339607561138,0.5098831294505581,0.5437908116653681,0.0621409748267328,0.4999572344975053,0.2501588034603313,-0.0046281282922762,alpha_grid
1000,combo_core,2019,2021,2022,2023,platt,0.5129662444084708,14.412256479263306,0.2537847737173281,0.7010810554603328,0.5098831294505581,0.5340947366283815,0.0597639299001361,0.4999572344975053,0.2501588034603313,-0.0036259702569967,alpha_grid
1000,combo_core,2019,2021,2022,2023,platt_plus_trend_w075,0.5129662444084708,14.412256479263306,0.250319716467952,0.6937897147342887,0.5098831294505581,0.5182483674634485,0.014940982475034,0.4999572344975053,0.2501588034603313,-0.0001609130076206,alpha_grid
1000,combo_core,2019,2022,2023,2024,raw,0.4980616077305448,19.09330153465271,0.2560680543377744,0.7060496588084673,0.5060333341891179,0.5358019248768813,0.0652231766500717,0.4861049201797189,0.2498392201633735,-0.0062288341744008,alpha_grid
1000,combo_core,2019,2022,2023,2024,platt,0.4980616077305448,19.09330153465271,0.2501048589734561,0.6933578210190647,0.5060333341891179,0.5004424585135573,0.0134455283669357,0.4861049201797189,0.2498392201633735,-0.0002656388100826,alpha_grid
1000,combo_core,2019,2022,2023,2024,platt_plus_trend_w075,0.4980616077305448,19.09330153465271,0.2499536720906866,0.6930545232440458,0.5060333341891179,0.4986568204262979,0.0033613820917339,0.4861049201797189,0.2498392201633735,-0.0001144519273131,alpha_grid
20,baseline,2019,2020,2021,2022,raw,0.5114727049981269,7.841671705245972,0.2490620908017605,0.6913031110776264,0.5324856858143385,0.5443147913690605,0.0569572053242537,0.5289204435249241,0.2488975149153299,-0.0001645758864306,ablation_alpha20
20,baseline,2019,2020,2021,2022,platt,0.5114727049981269,7.841671705245972,0.2482117455743012,0.6895538848731501,0.5324856858143385,0.5348896027577381,0.0286243990453851,0.5289204435249241,0.2488975149153299,0.0006857693410286,ablation_alpha20
20,baseline,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,7.841671705245972,0.2488975149153299,0.6909404035192446,0.5324856858143385,0.5173269294380297,0.0071560997613462,0.5289204435249241,0.2488975149153299,0.0,ablation_alpha20
20,pitcher_abs,2019,2020,2021,2022,raw,0.5114727049981269,8.928366899490356,0.2490914843762177,0.6913579319869314,0.5313023246383807,0.5433657620862647,0.0564435285414525,0.5289204435249241,0.2488975149153299,-0.0001939694608878,ablation_alpha20
20,pitcher_abs,2019,2020,2021,2022,platt,0.5114727049981269,8.928366899490356,0.2482546620201076,0.6896400877194159,0.5313023246383807,0.5350336771685364,0.0289114238524129,0.5289204435249241,0.2488975149153299,0.0006428528952222,ablation_alpha20
20,pitcher_abs,2019,2020,2021,2022,platt_plus_trend_w075,0.5114727049981269,8.928366899490356,0.2489038785547698,0.6909531441241197,0.5313023246383807,0.5173629480407294,0.0072278559631032,0.5289204435249241,0.2488975149153299,-6.36363943995466e-06,ablation_alpha20
20,pitcher_rel,2019,2020,2021,2022,raw,0.5114727049981269,9.37475037574768,0.2491930027416204,0.691568727239231,0.5308091281295577,0.543023481125492,0.0566985809852994,0.5289204435249241,0.2488975149153299,-0.0002954878262905,ablation_alpha20
