candidate_name,prediction_mode,valid_year,deviation_bucket,n,actual_rate,prediction_mean,brier,baseline_brier,skill_gain_vs_baseline
D_BASELINE_PLUS_MODEL_DEVIATION,native,2023,0_005,21030,0.4980979553019496,0.5278571437950913,0.25086919863019225,0.2508710849589482,1.8863287559733877e-06
D_BASELINE_PLUS_MODEL_DEVIATION,native,2023,005_010,21337,0.5071940760181843,0.5289617772642039,0.25044614314789126,0.25036764507543213,-7.84980724591322e-05
D_BASELINE_PLUS_MODEL_DEVIATION,native,2023,010_020,39391,0.5069939833972227,0.5293609573121055,0.2505951858843987,0.25037871953331725,-0.00021646635108146794
D_BASELINE_PLUS_MODEL_DEVIATION,native,2023,020_040,55326,0.5005603152224993,0.5280833351651484,0.25118062002824093,0.2507348015662527,-0.0004458184619882122
D_BASELINE_PLUS_MODEL_DEVIATION,native,2023,040_plus,108441,0.49603009931667913,0.5324855051553928,0.25625128924554347,0.25098553387721007,-0.005265755368333402
D_BASELINE_PLUS_MODEL_DEVIATION,native,2024,0_005,28288,0.4950509049773756,0.48788447387909095,0.2500153404222902,0.2500289257361504,1.3585313860198234e-05
D_BASELINE_PLUS_MODEL_DEVIATION,native,2024,005_010,24913,0.49749126961827156,0.48815666144738035,0.24996927464888755,0.2500887534438079,0.0001194787949203302
D_BASELINE_PLUS_MODEL_DEVIATION,native,2024,010_020,36531,0.4973584079275136,0.4855615724012116,0.25013944384793235,0.25008549622139925,-5.394762653310181e-05
D_BASELINE_PLUS_MODEL_DEVIATION,native,2024,020_040,52130,0.4893727220410512,0.481176956334419,0.2504548073030978,0.24988972003588436,-0.0005650872672134655
D_BASELINE_PLUS_MODEL_DEVIATION,native,2024,040_plus,111645,0.4760893904787496,0.4925553189417022,0.2572283723910576,0.2495640673591863,-0.007664305031871321
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2022,0_005,17052,0.49818203143326295,0.5116936988634353,0.2501598464150069,0.25017333699409805,1.3490579091168797e-05
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2022,005_010,17084,0.503687660969328,0.513232107120081,0.24999812478994707,0.2500470080671056,4.888327715854568e-05
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2022,010_020,36682,0.511722370645003,0.5191410807112914,0.24978443039212508,0.24986264835939634,7.821796727125463e-05
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2022,020_040,92296,0.5243889225968623,0.53576323093281,0.24916514703598514,0.24957200913162206,0.0004068620956369229
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2022,040_plus,84358,0.5526802437231798,0.5655753881768173,0.24600983209609692,0.24892285316904308,0.0029130210729461647
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2023,0_005,18517,0.5042393476265054,0.5278733983008772,0.2505315385599903,0.2505311794175692,-3.5914242108026073e-07
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2023,005_010,18235,0.4959144502330683,0.5285393911434805,0.25100437612918797,0.25099193466750275,-1.2441461685219757e-05
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2023,010_020,37426,0.4959119328808849,0.5313929336141291,0.2513768528373768,0.2509920739945334,-0.0003847788428434362
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2023,020_040,67392,0.5019141737891738,0.5388801251517138,0.251642929404633,0.2506598700190177,-0.0009830593856153258
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2023,040_plus,103955,0.5000913856957337,0.5613664062971838,0.2570585426388133,0.2507607552484538,-0.006297787390359466
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2024,0_005,97799,0.48769414820192436,0.4885851949697942,0.2498317395842304,0.24984856830665267,1.6828722422257414e-05
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2024,005_010,68032,0.49121001881467546,0.48972303113587445,0.2497480008106972,0.24993476299889508,0.00018676218819788093
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2024,010_020,60794,0.4829752936145014,0.4923415913934252,0.2495287372828693,0.24973288139331046,0.00020414411044114567
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2024,020_040,20252,0.4756073474224768,0.5050211335493504,0.25026906659969334,0.24955224964532266,-0.0007168169543706748
D_BASELINE_PLUS_MODEL_DEVIATION,platt,2024,040_plus,6630,0.47104072398190044,0.5321125336177928,0.2528285934919468,0.24944029481381663,-0.003388298678130175
D_BASELINE_PLUS_MODEL_DEVIATION,v2_strength,2022,0_005,91706,0.5300198460297036,0.5118010657872553,0.2494175676478372,0.249442805284798,2.5237636960800947e-05
D_BASELINE_PLUS_MODEL_DEVIATION,v2_strength,2022,005_010,59940,0.5290957624290957,0.511934502759048,0.24936235148015337,0.24946400876188476,0.00010165728173139321
D_BASELINE_PLUS_MODEL_DEVIATION,v2_strength,2022,010_020,67109,0.526412254690131,0.5119295223523789,0.24883379340204054,0.2495255829471835,0.0006917895451429568
D_BASELINE_PLUS_MODEL_DEVIATION,v2_strength,2022,020_040,28717,0.5309050388271755,0.5095038363837174,0.2467804865302333,0.24942249417313428,0.0026420076429009842
D_BASELINE_PLUS_MODEL_DEVIATION,v2_strength,2023,0_005,56620,0.5043800777110562,0.5279903651718995,0.2505248540345378,0.2505233904776921,-1.463556845660019e-06
D_BASELINE_PLUS_MODEL_DEVIATION,v2_strength,2023,005_010,43172,0.50345131103493,0.5275912924437169,0.2506080818819947,0.2505747946093906,-3.3287272604098916e-05
D_BASELINE_PLUS_MODEL_DEVIATION,v2_strength,2023,010_020,61397,0.5036239555678617,0.527029559993,0.2504414644887646,0.2505652393114498,0.00012377482268521867
