candidate_name,calibration_mode,valid_year,pitcher_sample_bucket,n,actual_rate,brier,auc,prediction_std
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,2023,300_1000,23993,0.4633434751802609,0.2530422411725313,0.5102344138314987,0.015586701857659802
F_PITCHER_COUNT_PLUS_CATBOOST,v2_strength,2023,1000_plus,175670,0.507377469118233,0.24973145308607525,0.5315770856481604,0.014849640480531369
V2_BASELINE,platt,2024,lt50,4060,0.45615763546798027,0.2505057530015307,0.4863346665962375,0.006555439387245148
V2_BASELINE,platt,2024,50_300,16578,0.46790927735553145,0.25039800639430815,0.49369198139666265,0.009870930402942844
V2_BASELINE,platt,2024,300_1000,38096,0.47130932381352375,0.2502683650233717,0.503345886576218,0.013220618868130897
V2_BASELINE,platt,2024,1000_plus,194773,0.49117177432190295,0.2499210852364722,0.5159020484423986,0.013171382849910592
V2_BASELINE,v2_strength,2024,lt50,4060,0.45615763546798027,0.2492440293827546,0.4863346665962375,0.0028498473749017207
V2_BASELINE,v2_strength,2024,50_300,16578,0.46790927735553145,0.24947376496156703,0.4936920398552583,0.00427527686609289
V2_BASELINE,v2_strength,2024,300_1000,38096,0.47130932381352375,0.24949821863547506,0.5033455243291686,0.005706217345739591
V2_BASELINE,v2_strength,2024,1000_plus,194773,0.49117177432190295,0.24986453914179235,0.5159023018920321,0.0057073316565101175
A_GLOBAL_PITCHER,native,2024,lt50,53072,0.48728142900211036,0.25029077285714285,0.4955383407400187,0.014070228711534653
A_GLOBAL_PITCHER,native,2024,50_300,9350,0.453475935828877,0.25733868427128503,0.4914569794705166,0.060803898892028904
A_GLOBAL_PITCHER,native,2024,300_1000,27094,0.4613567579537905,0.25454657207974757,0.5085753378100589,0.06194882963514973
A_GLOBAL_PITCHER,native,2024,1000_plus,163991,0.4916733235360477,0.2507069308588714,0.5265714835880491,0.04086593185437964
A_GLOBAL_PITCHER,platt,2024,lt50,53072,0.48728142900211036,0.24999233973373763,0.4955383407400187,0.005595448811426373
A_GLOBAL_PITCHER,platt,2024,50_300,9350,0.453475935828877,0.2504527678586812,0.4914569794705166,0.02463938207492187
A_GLOBAL_PITCHER,platt,2024,300_1000,27094,0.4613567579537905,0.24975704784542813,0.5085753378100589,0.025236265239933994
