strategy,parameter,cap_type,cap_value,mean_brier,worst_brier,mean_pseudo_score,positive_fold_count,mean_skill_margin,worst_skill_margin,mean_pred_std,mean_auc,brier_2022,brier_2023,brier_2024,pseudo_2022,pseudo_2023,pseudo_2024,skill_2022,skill_2023,skill_2024,pred_std_2024,ready_like,selection_note
temperature,2.3,hard_cap,0.0125,0.24981172846842725,0.25059832205426874,17.867901781619015,2,-0.0001548841770201148,-0.0005983238831569759,0.00793910275134207,0.5188149782707377,0.2490728160280122,0.25059832205426874,0.2497640473230008,36.43867539798294,0.0,17.165029946874107,9.079191830946298e-05,-0.0005983238831569759,4.287943378716852e-05,0.0050872702724569065,True,
temperature,2.3,soft_cap,0.0125,0.2498209125618435,0.2505989983073015,14.272537666046068,2,-0.00016406827043638494,-0.0005990001361897146,0.0071309544767167625,0.5195480238223708,0.24909929971932576,0.2505989983073015,0.24976443965890333,25.8096387052484,0.0,17.0079742928898,6.430822699590721e-05,-0.0005990001361897146,4.248709788465255e-05,0.0044923904419632895,True,
temperature,2.2,soft_cap,0.015,0.2498010067467424,0.2505852982117144,20.428787050631822,2,-0.00014416245533527272,-0.0005853000406026154,0.008055149968411675,0.5195480238223708,0.24905326313811255,0.2505852982117144,0.2497644588904003,44.28608540332864,0.0,17.000275748566818,0.00011034480820912296,-0.0005853000406026154,4.24678663876743e-05,0.004892185608463283,True,
shrink,0.45,soft_cap,0.015,0.2498024330793477,0.2505880022026242,20.218194452286177,2,-0.00014558878794057595,-0.0005880040315124624,0.008014679882269607,0.5195480238223708,0.24905450941844454,0.2505880022026242,0.24976478761697438,43.785899865696415,0.0,16.868683491162116,0.00010909852787713281,-0.0005880040315124624,4.2139139813601734e-05,0.004855122170585121,True,
temperature,2.1,hard_cap,0.015,0.24978929606240877,0.2505866480505794,25.309747790951505,2,-0.00013245177100165706,-0.0005866498794676323,0.009203269922723991,0.5190028502986225,0.24901567775429492,0.2505866480505794,0.24976556238235206,59.370705556092034,0.0,16.558537816762485,0.00014793019202674618,-0.0005866498794676323,4.13643744359149e-05,0.005734071999440885,True,
shrink,0.475,hard_cap,0.015,0.24979032814420674,0.25058956564195006,25.28590060755771,2,-0.00013348385279958927,-0.0005895674708382981,0.009193065465441927,0.5190070430126649,0.24901570166088144,0.25058956564195006,0.24976571712978868,59.36111082164707,0.0,16.496591001026076,0.0001479062854402302,-0.0005895674708382981,4.1209626999300086e-05,0.005722363049192099,True,
temperature,2.3,soft_cap,0.015,0.2498031339476697,0.2505852618571059,19.570640168748593,2,-0.0001462896562625382,-0.0005852636859941251,0.007891138503886766,0.5195480238223708,0.24905836542727716,0.2505852618571059,0.24976577455862597,42.23831879460505,0.0,16.47360171164073,0.00010524251904450721,-0.0005852636859941251,4.115219816200333e-05,0.004735855612584611,True,
temperature,2.1,soft_cap,0.02,0.24977283750736975,0.2505709212275996,29.81145442252884,2,-0.00011599321596259908,-0.0005709230564878431,0.00954247098490227,0.5195480238223708,0.2489816398841717,0.2505709212275996,0.2497659514103379,73.03155691546999,0.0,16.402806352116524,0.00018196806214995642,-0.0005709230564878431,4.097534645008949e-05,0.005432384678136421,True,
shrink,0.475,soft_cap,0.02,0.24977411159580024,0.2505739295357656,29.70259333926124,2,-0.0001172673043930798,-0.0005739313646538624,0.009523292316229863,0.5195480238223708,0.24898236432920948,0.2505739295357656,0.24976604092242555,72.74080617392502,0.0,16.366973843858705,0.00018124361711219228,-0.0005739313646538624,4.088583436243076e-05,0.005419641214233535,True,
temperature,2.2,soft_cap,0.02,0.24977575733638882,0.250570624139649,28.600245318092107,2,-0.00011891304498167406,-0.0005706259685372139,0.009309990687174472,0.5195480238223708,0.24898957110093486,0.250570624139649,0.2497670767685826,69.84842081123585,0.0,15.952315143040467,0.00017403684538680464,-0.0005706259685372139,3.98499882053871e-05,0.00523449321971883,True,
