valid_year,base_model,calibration,target_rate_estimator,mean_matching,strategy,parameter,cap_type,cap_value,target_rate,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,pred_mean,pred_std
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.005,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976749212191443,3.943463487354748e-05,15.786045401351517,0.5106875170195614,0.6926820466793571,0.48745020145767226,0.003016087692405834
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.0075,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.2492020078406707,-3.839989434903379e-05,0.0,0.5288574282461569,0.6915506052822283,0.5116525535391029,0.0060492702497895595
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.0075,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506472803485901,-0.0006472821774783089,0.0,0.5134703801727193,0.6944439018034675,0.5275420652010518,0.006620367629417196
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.0075,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.2497544756847813,5.2451072006687305e-05,20.996644363570297,0.5107183220970315,0.6926559704828772,0.4873764768617515,0.004255146918627364
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.0075,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24920895087403105,-4.5342927709385306e-05,0.0,0.5324856858143385,0.6915645182149271,0.5116259397101528,0.005551882836181314
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.0075,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.250645575268221,-0.0006455770971092456,0.0,0.5154708686663898,0.6944404325305248,0.5275424240248742,0.006279644015139798
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,soft_cap,0.0075,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24976283776888825,4.4088987899731924e-05,17.649225532747923,0.5106875170195614,0.6926727150278364,0.48745977440831767,0.0037443452968236915
2022,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.01,0.5114727049981269,0.5289204435249241,0.24916360794632167,0.24913262733107805,3.0980615243619836e-05,12.433844371965474,0.5302978851739341,0.6914116697376045,0.5116497922381111,0.007503401952323038
2023,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.01,0.5276733290608981,0.49995723449750534,0.24999999817111176,0.2506216136256092,-0.0006216154544974317,0.0,0.5142133228059833,0.6943927663405709,0.5274737796912953,0.00847367945828875
2024,catboost,platt,linear_trend_recent3,logit_intercept_shift,shrink,0.45,hard_cap,0.01,0.48774205570452267,0.4861049201797189,0.24980692675678798,0.24975649798995453,5.04287668334491e-05,20.187097086601824,0.5106658075643788,0.6926599935687653,0.48743793366655097,0.004803840084196079
