candidate_id,candidate_type,valid_year,weights,raw_prediction_std,actual_rate,constant_brier,model_brier,skill_margin,pseudo_score,auc,logloss,prediction_std,prediction_mean
blend2__A_v2_base__1.0__B_tuned_base__0.0,two_model_blend,2023,A_v2_base:1.000;B_tuned_base:0.000,0.062106804902845376,0.49995723449750534,0.24999999817111176,0.25056802835099595,-0.000568030179884188,0.0,0.5153704840527471,0.694287061114121,0.014285022476808469,0.527189297933662
blend2__A_v2_base__1.0__B_tuned_base__0.0,two_model_blend,2024,A_v2_base:1.000;B_tuned_base:0.000,0.06568103219750941,0.4861049201797189,0.24980692675678798,0.24977399777610962,3.2928980678359476e-05,13.181772461585556,0.5106876936728955,0.6926949806395462,0.00562363776754328,0.48773544324372964
blend2__A_v2_base__0.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__1.0,two_model_blend,2022,A_v2_base:0.000;C_stable_reconstructed_A_recent_vs_longterm_v2_params:1.000,0.05720672962616307,0.5289204435249241,0.24916360794632167,0.2489297807471689,0.00023382719915276962,93.84484398826973,0.532534695750702,0.6910051570376159,0.011117475127045928,0.5115999966112553
blend2__A_v2_base__0.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__1.0,two_model_blend,2023,A_v2_base:0.000;C_stable_reconstructed_A_recent_vs_longterm_v2_params:1.000,0.06186200507332833,0.49995723449750534,0.24999999817111176,0.2505524033282932,-0.0005524051571814403,0.0,0.5159910223245899,0.6942558178322122,0.01439821992901953,0.527208334180288
blend2__A_v2_base__0.0__C_stable_reconstructed_A_recent_vs_longterm_v2_params__1.0,two_model_blend,2024,A_v2_base:0.000;C_stable_reconstructed_A_recent_vs_longterm_v2_params:1.000,0.06503227172359342,0.4861049201797189,0.24980692675678798,0.24976998307666642,3.694368012155391e-05,14.78889340707605,0.5107338622335149,0.6926869427740556,0.005664631229929582,0.4877351358970861
blend2__A_v2_base__0.1__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.9,two_model_blend,2022,A_v2_base:0.100;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.900,0.05711928285885599,0.5289204435249241,0.24916360794632167,0.24893008207140419,0.000233525874917484,93.72390970024541,0.5325449876204226,0.691005762721825,0.011112943058311387,0.5115979352263793
blend2__A_v2_base__0.1__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.9,two_model_blend,2023,A_v2_base:0.100;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.900,0.061837875047209834,0.49995723449750534,0.24999999817111176,0.25055377781258065,-0.0005537796414688823,0.0,0.5159455743279834,0.6942585656521217,0.014388466109561172,0.5272077146048179
blend2__A_v2_base__0.1__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.9,two_model_blend,2024,A_v2_base:0.100;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.900,0.06505545006193621,0.4861049201797189,0.24980692675678798,0.2497703302081282,3.659654865978412e-05,14.649933504611953,0.5107359011281745,0.6926876377208657,0.005662690938189375,0.4877351373521303
blend2__A_v2_base__0.2__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.8,two_model_blend,2022,A_v2_base:0.200;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.800,0.05704562779241735,0.5289204435249241,0.24916360794632167,0.24893055885752416,0.00023304908879751007,93.53255506226125,0.532545197851837,0.6910067198321946,0.011106662675882076,0.5115955307390412
blend2__A_v2_base__0.2__C_stable_reconstructed_A_recent_vs_longterm_v2_params__0.8,two_model_blend,2023,A_v2_base:0.200;C_stable_reconstructed_A_recent_vs_longterm_v2_params:0.800,0.06182455503953767,0.49995723449750534,0.24999999817111176,0.25055511998878405,-0.0005551218176722827,0.0,0.515930111837035,0.6942612480322122,0.014378096071095896,0.5272067520138498
