ensemble_norm,stage,weights_norm,mean_brier,std_brier,worst_brier,folds_improved,mean_improvement,mean_logloss,mean_auc,mean_pred_std
"{'lightgbm': 0.7, 'xgboost': 0.3}",platt_avg_plus_trend_w075,"{'lightgbm': 0.7, 'xgboost': 0.3}",0.24969253099649139,0.0005512122967026873,0.2501558497478113,3,3.193216177666917e-05,0.692532430415376,0.5153717858488371,0.007003976576815299
"{'lightgbm': 0.1, 'sklearn_hgb': 0.3, 'xgboost': 0.6}",raw_avg_plus_trend_w075,"{'lightgbm': 0.1, 'sklearn_hgb': 0.3, 'xgboost': 0.6}",0.24969256123698136,0.0008741819770433993,0.2502849110052656,1,3.19019212866647e-05,0.6925327234523491,0.5162388835531645,0.0153710160637478
"{'lightgbm': 0.3, 'sklearn_hgb': 0.3, 'xgboost': 0.4}",raw_avg_then_platt_plus_trend_w075,"{'lightgbm': 0.3, 'sklearn_hgb': 0.3, 'xgboost': 0.4}",0.24969266062456405,0.0005719090136873148,0.2501768424594166,3,3.18025337039766e-05,0.692532707452126,0.5152499777186489,0.0071755479666286
"{'catboost': 0.3, 'lightgbm': 0.1, 'sklearn_hgb': 0.6}",platt_avg_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.1, 'sklearn_hgb': 0.6}",0.24969274413973472,0.0005783537933152017,0.2501809442744606,3,3.171901853330864e-05,0.6925328537482827,0.5154605515968634,0.007059781512793933
"{'catboost': 0.2, 'sklearn_hgb': 0.6, 'xgboost': 0.2}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.2, 'sklearn_hgb': 0.6, 'xgboost': 0.2}",0.24969276991255374,0.0005866826286608479,0.2501904026863962,3,3.169324571427231e-05,0.6925329317135885,0.5152260259548451,0.007260126540830299
"{'lightgbm': 0.1, 'sklearn_hgb': 0.5, 'xgboost': 0.4}",platt_avg_plus_trend_w075,"{'lightgbm': 0.1, 'sklearn_hgb': 0.5, 'xgboost': 0.4}",0.24969290823634374,0.0005832309195113579,0.2501882406334743,3,3.1554921924276114e-05,0.6925331794411201,0.5155660575504413,0.0070362817541133665
"{'catboost': 0.3, 'lightgbm': 0.3, 'sklearn_hgb': 0.4}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.3, 'sklearn_hgb': 0.4}",0.24969333987251763,0.0005664657129668834,0.2501705405304673,3,3.112328575036183e-05,0.6925340768769885,0.515044425250272,0.0072214913865068335
"{'catboost': 0.2, 'lightgbm': 0.8}",platt_avg_plus_trend_w075,"{'catboost': 0.2, 'lightgbm': 0.8}",0.24969351155386457,0.0005412188146340737,0.2501459330573324,3,3.0951604403435994e-05,0.6925343936872572,0.5151403326998274,0.006995643334478167
"{'catboost': 0.1, 'lightgbm': 0.7, 'xgboost': 0.2}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.1, 'lightgbm': 0.7, 'xgboost': 0.2}",0.24969354059301282,0.0005462661859769666,0.2501521711873208,3,3.092256525522955e-05,0.6925344692975934,0.5150363479627208,0.007119368123888133
"{'lightgbm': 0.6, 'sklearn_hgb': 0.1, 'xgboost': 0.3}",platt_avg_plus_trend_w075,"{'lightgbm': 0.6, 'sklearn_hgb': 0.1, 'xgboost': 0.3}",0.2496935950803678,0.0005549712556019783,0.2501612055970861,3,3.0868077900203517e-05,0.6925345583555952,0.5153298192886816,0.006984659414557499
"{'sklearn_hgb': 0.4, 'xgboost': 0.6}",raw_avg_plus_trend_w075,"{'sklearn_hgb': 0.4, 'xgboost': 0.6}",0.24969370564388674,0.000880290606846486,0.2502902588903195,1,3.075751438128057e-05,0.6925350067034027,0.5161521730071997,0.0154004104923184
"{'lightgbm': 0.2, 'sklearn_hgb': 0.4, 'xgboost': 0.4}",raw_avg_then_platt_plus_trend_w075,"{'lightgbm': 0.2, 'sklearn_hgb': 0.4, 'xgboost': 0.4}",0.24969390574103723,0.0005763660540349357,0.250183157914101,3,3.055741723080133e-05,0.6925351991739959,0.5151689664116242,0.007175458100435833
"{'catboost': 0.3, 'sklearn_hgb': 0.7}",platt_avg_plus_trend_w075,"{'catboost': 0.3, 'sklearn_hgb': 0.7}",0.2496942893543621,0.0005823309241447905,0.2501872981804589,3,3.017380390588076e-05,0.6925359478385499,0.5153529422527979,0.0070676294384448
"{'sklearn_hgb': 0.6, 'xgboost': 0.4}",platt_avg_plus_trend_w075,"{'sklearn_hgb': 0.6, 'xgboost': 0.4}",0.24969439497782883,0.000587214833933409,0.250194496140816,3,3.006818043920408e-05,0.6925361556843036,0.5154605769665773,0.007040382280312133
"{'catboost': 0.2, 'lightgbm': 0.7, 'sklearn_hgb': 0.1}",platt_avg_plus_trend_w075,"{'catboost': 0.2, 'lightgbm': 0.7, 'sklearn_hgb': 0.1}",0.24969455458946913,0.0005449422164999848,0.2501512252678047,3,2.9908568798901285e-05,0.6925364796881236,0.5151034200036737,0.006975554580976334
"{'lightgbm': 0.5, 'sklearn_hgb': 0.2, 'xgboost': 0.3}",platt_avg_plus_trend_w075,"{'lightgbm': 0.5, 'sklearn_hgb': 0.2, 'xgboost': 0.3}",0.24969474001974698,0.0005587719337055752,0.2501667320944762,3,2.9723138521065007e-05,0.6925368485613584,0.5152746417842388,0.006969887019201433
"{'catboost': 0.3, 'lightgbm': 0.2, 'sklearn_hgb': 0.5}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.3, 'lightgbm': 0.2, 'sklearn_hgb': 0.5}",0.249694778117485,0.0005706916334830819,0.2501769629673706,3,2.9685040783008116e-05,0.6925369555950164,0.5149633297356528,0.007219835990213
"{'catboost': 0.1, 'sklearn_hgb': 0.6, 'xgboost': 0.3}",raw_avg_then_platt_plus_trend_w075,"{'catboost': 0.1, 'sklearn_hgb': 0.6, 'xgboost': 0.3}",0.24969483492481545,0.0005856780003400437,0.2501931970031995,3,2.962823345262211e-05,0.6925370608475486,0.5151003805608704,0.007214483492575501
"{'lightgbm': 0.1, 'sklearn_hgb': 0.5, 'xgboost': 0.4}",raw_avg_then_platt_plus_trend_w075,"{'lightgbm': 0.1, 'sklearn_hgb': 0.5, 'xgboost': 0.4}",0.24969535856220249,0.0005806261426250355,0.2501896079910878,3,2.910459606552303e-05,0.6925381062440251,0.5150757352466909,0.0071732779272107
"{'lightgbm': 0.7, 'xgboost': 0.3}",raw_avg_then_platt_plus_trend_w075,"{'lightgbm': 0.7, 'xgboost': 0.3}",0.24969562847364313,0.0005454394047637611,0.2501552085299105,3,2.8834684624945428e-05,0.6925386447860938,0.5149226559719926,0.0070727922554803995
"{'catboost': 0.2, 'lightgbm': 0.6, 'sklearn_hgb': 0.2}",platt_avg_plus_trend_w075,"{'catboost': 0.2, 'lightgbm': 0.6, 'sklearn_hgb': 0.2}",0.24969567848057628,0.0005487069682937265,0.2501566881263919,3,2.8784677691749232e-05,0.6925387279527991,0.5150559532716623,0.006960028720892034
"{'catboost': 0.1, 'lightgbm': 0.8, 'xgboost': 0.1}",platt_avg_plus_trend_w075,"{'catboost': 0.1, 'lightgbm': 0.8, 'xgboost': 0.1}",0.2496959589969582,0.0005398167013133,0.2501490557717418,3,2.8504161309820624e-05,0.6925392926139221,0.514972928695911,0.006960832409620466
"{'lightgbm': 0.4, 'sklearn_hgb': 0.3, 'xgboost': 0.3}",platt_avg_plus_trend_w075,"{'lightgbm': 0.4, 'sklearn_hgb': 0.3, 'xgboost': 0.3}",0.24969596581462875,0.0005626148374143121,0.2501724292399813,3,2.849734363925364e-05,0.6925393010422853,0.5152083062829887,0.006959674965146833
